iter	Logloss
147	0.4087554171
148	0.4080867281
149	0.4072905451
150	0.4064296218
151	0.4055720275
152	0.4048406826
153	0.4041579156
154	0.4035447989
155	0.4030039453
156	0.4021429009
157	0.4016448792
158	0.4011183171
159	0.4006003412
160	0.3998839054
161	0.3991833257
162	0.3984711038
163	0.3978845021
164	0.3973828207
165	0.3967106415
166	0.3960143792
167	0.3949977741
168	0.3945457303
169	0.3937161451
170	0.3928694623
171	0.392634851
172	0.3918638322
173	0.3911862271
174	0.3903353738
175	0.3897294
176	0.3890058222
177	0.3882084156
178	0.387364797
179	0.3866183126
180	0.3861629912
181	0.385457067
182	0.3850908125
183	0.3845585423
184	0.3839398322
185	0.3832411723
186	0.3825360848
187	0.3818640628
188	0.3814423028
189	0.3808105648
190	0.3801048232
191	0.379531142
192	0.3788960097
193	0.3782458201
194	0.3775920026
195	0.376856822
196	0.376337639
197	0.3759476099
198	0.3754149004
199	0.3750186704
200	0.3744503142
201	0.3738253831
202	0.3733800009
203	0.3729657907
204	0.3724056978
205	0.3718217314
206	0.3711493713
207	0.37050439
208	0.3697697297
209	0.3693879032
210	0.368927378
211	0.3684210753
212	0.3680880924
213	0.3677093216
214	0.3671315507
215	0.3666926421
216	0.3660888158
217	0.3656804075
218	0.3650762058
219	0.3644651405
220	0.3639330916
221	0.3635890497
222	0.363091578
223	0.3624959457
224	0.3620077861
225	0.3615525087
226	0.3608455141
227	0.3606557387
228	0.3602609966
229	0.3599386789
230	0.3595606245
231	0.3594587078
232	0.3592064624
233	0.3588041327
234	0.3584774413
235	0.3581758107
236	0.3577885617
237	0.3573084747
238	0.3569210064
239	0.3563874376
240	0.3559852838
241	0.355508398
242	0.3551489222
243	0.3547403299
244	0.3543563864
245	0.3540342083
246	0.3536847222
247	0.3531375933
248	0.3527733396
249	0.3523701749
250	0.3518725234
251	0.351631468
252	0.3509870361
253	0.3505276429
254	0.3500885971
255	0.3498527172
256	0.3492462689
257	0.3488044875
258	0.3484290445
259	0.3481040331
260	0.347649476
261	0.3474253843
262	0.3467231537
263	0.3463805927
264	0.3458804685
265	0.3454377201
266	0.3451267326
267	0.3448187528
268	0.3442584842
269	0.3437937765
270	0.3433477213
271	0.3429233445
272	0.3426062507
273	0.3421901498
274	0.3416766379
275	0.341259443
276	0.3409077866
277	0.3404858219
278	0.3401255563
279	0.3397417392
280	0.3391737647
281	0.338834147
282	0.3384091944
283	0.3380421765
284	0.3377087922
285	0.3374241446
286	0.3369793877
287	0.3367223969
288	0.3363719706
289	0.3361340684
290	0.3357828789
291	0.3354434979
292	0.3350850111
293	0.3345830781
294	0.3342041819
295	0.3337678942
296	0.3334167199
297	0.3329740326
298	0.3326564725
299	0.3323537869
300	0.3320736905
301	0.3317196613
302	0.3314039894
303	0.331022649
304	0.3307674929
305	0.3304426851
306	0.3299661728
307	0.3294284721
308	0.3288094524
309	0.3284642331
310	0.3281374758
311	0.3276196383
312	0.3271962751
313	0.3266994241
314	0.3263701574
315	0.3260526188
316	0.325611188
317	0.3253691597
318	0.3248462565
319	0.3244857255
320	0.3242974935
321	0.3240289353
322	0.3238616905
323	0.3235577312
324	0.3233060247
325	0.3228132891
326	0.3226473071
327	0.3222352461
328	0.3219801065
329	0.3215228879
330	0.3212923695
331	0.3207989136
332	0.3205011334
333	0.3199820088
334	0.319723589
335	0.3195262457
336	0.3192599264
337	0.3190371882
338	0.3187489137
339	0.3184709988
340	0.3182198639
341	0.3179115116
342	0.3176697035
343	0.3174169735
344	0.3169395445
345	0.3166171387
346	0.3162778618
347	0.3160435067
348	0.3156907856
349	0.3153540989
350	0.3151823922
351	0.3146262321
352	0.3142974987
353	0.3139480585
354	0.3136618565
355	0.3134197725
356	0.3131083579
357	0.3127547165
358	0.3124541294
359	0.3120074455
360	0.3115968622
361	0.3114357787
362	0.3109826481
363	0.3105547777
364	0.3100637235
365	0.3098518191
366	0.3096834586
367	0.3093056034
368	0.309089456
369	0.3087622774
370	0.3083131708
371	0.3080252134
372	0.3077346783
373	0.3074445227
374	0.3071163356
375	0.3067701187
376	0.3064589423
377	0.3061624998
378	0.3058037672
379	0.3053565553
380	0.3051277962
381	0.3048555109
382	0.3045039811
383	0.3043097389
384	0.3040692796
385	0.3038770254
386	0.3035383524
387	0.3032605104
388	0.3029295253
389	0.3024510486
390	0.3021084052
391	0.3018996699
392	0.3015556809
393	0.3011827765
394	0.3009188468
395	0.3005671145
396	0.3000775306
397	0.2997932856
398	0.2994756051
399	0.2991200435
400	0.2988222269
401	0.2985158137
402	0.2981094977
403	0.2978539497
404	0.2976159222
405	0.2973034184
406	0.2970374986
407	0.2967479698
408	0.2963638554
409	0.2961768733
410	0.2959097389
411	0.2956214499
412	0.2954281477
413	0.2951032892
414	0.2948789306
415	0.2945530716
416	0.2943818493
417	0.2941036031
418	0.2939531477
419	0.293506249
420	0.2932901071
421	0.2930955936
422	0.2927723506
423	0.292432618
424	0.2922843272
425	0.292078345
426	0.2919570203
427	0.2916561047
428	0.2913869667
429	0.2911746885
430	0.290920299
431	0.2906527296
432	0.2905410789
433	0.290140168
434	0.2898605769
435	0.2896020872
436	0.2893576517
437	0.2890244899
438	0.2887884071
439	0.2883867525
440	0.2881422506
441	0.2879412374
442	0.2875665315
443	0.2872308465
444	0.2868759861
445	0.2866932818
446	0.286386189
447	0.2862075004
448	0.2860337067
449	0.2858254224
450	0.2856189023
451	0.285408395
452	0.2851895433
453	0.2850181527
454	0.2848266842
455	0.2844806538
456	0.2842495988
457	0.2840503414
458	0.2836121288
459	0.2835137185
460	0.2832416968
461	0.2830254644
462	0.2827883728
463	0.2823317721
464	0.2821979745
465	0.2818284925
466	0.2815990193
467	0.2812756585
468	0.2810681018
469	0.280748954
470	0.2806308704
471	0.28030998
472	0.2799832709
473	0.2798145714
474	0.2795632461
475	0.2793998019
476	0.2791737852
477	0.2789263066
478	0.2787708742
479	0.2785536241
480	0.2784156896
481	0.278266424
482	0.2781784045
483	0.2777243806
484	0.2775244456
485	0.277293108
486	0.2770206037
487	0.2767101855
488	0.2765300403
489	0.2762861341
490	0.2760150978
491	0.2757885601
492	0.2754752019
493	0.2753518506
494	0.2750937775
495	0.2748782516
496	0.2744892674
497	0.2742641054
498	0.2740113832
499	0.2737807516
500	0.2736238299
501	0.2734303248
502	0.273202027
503	0.2730384267
504	0.2727168449
505	0.2723711433
506	0.2720096045
507	0.2717808208
508	0.2715605766
509	0.2712287725
510	0.2709206322
511	0.2706409312
512	0.2704598936
513	0.2701704312
514	0.2699921392
515	0.2698642107
516	0.2696606724
517	0.2695596839
518	0.2693761436
519	0.269148667
520	0.2690110761
521	0.2688634661
522	0.2686107442
523	0.268434522
524	0.2681046503
525	0.2678747208
526	0.2676886654
527	0.2673244258
528	0.2670888822
529	0.2668459577
530	0.2665606386
531	0.2663450743
532	0.2661036638
533	0.2658969014
534	0.2656689001
535	0.2654213145
536	0.2652426761
537	0.2648630646
538	0.2646254375
539	0.2643243992
540	0.2641618065
541	0.263931105
542	0.2637206679
543	0.263546973
544	0.2633842471
545	0.2631544232
546	0.2629735687
547	0.26278644
548	0.2624816765
549	0.2621958734
550	0.2620233084
551	0.2618490236
552	0.2615425513
553	0.2612840785
554	0.2610321799
555	0.2608421908
556	0.2606124507
557	0.2604999311
558	0.2603412326
559	0.260080716
560	0.2598772715
561	0.2596434955
562	0.2594509175
563	0.2591896388
564	0.2589958427
565	0.2587874645
566	0.25859723856567	0.258361468568	0.2696392086
569	0.2692812475
570	0.269099453
571	0.2688835978
572	0.2685541553
573	0.2682857941
574	0.2681331246
575	0.2678779022
576	0.2677493413
577	0.2676308338
578	0.2673219762
579	0.2670710092
580	0.2668007779
581	0.2666362585
582	0.2663755597
583	0.2660090023
584	0.2658138523
585	0.2656721218
586	0.2654420389
587	0.2652755517
588	0.2649673968
589	0.2647511771
590	0.2644944986
591	0.2498663278
592	0.2496234198
593	0.2494638214
594	0.2492965949
595	0.2490744994
596	0.2489090698
597	0.24869278
598	0.2484394986
599	0.2483041688
600	0.2480768186
601	0.2479628475
602	0.2478336996
603	0.2476044357
604	0.2474466082
605	0.2472172015
606	0.2470273791
607	0.2468980094
608	0.2466011426
609	0.246434193
610	0.2462604844
611	0.2459841831
612	0.2458795116
613	0.245770191
614	0.2455048858
615	0.2453479929
616	0.2452955694
617	0.2451127537
618	0.2450577754
619	0.2449413473
620	0.2447177898
621	0.2443129221
622	0.2441189822
623	0.2439140393
624	0.2437018888
625	0.2435925825
626	0.2433203681
627	0.243193804
628	0.2430720894
629	0.2427917842
630	0.2425590534
631	0.2423642829
632	0.2421990741
633	0.2419999393
634	0.2417970077
635	0.2415038534
636	0.2413306404
637	0.2411343047
638	0.2408476727
639	0.2405079806
640	0.2403233419
641	0.2400274112
642	0.2398023262
643	0.2395358218
644	0.2393799523
645	0.2392994807
646	0.23907925
647	0.2388466728
648	0.238607331
649	0.2383616464
650	0.2381824745
651	0.2379389011
652	0.2377822031
653	0.2376604654
654	0.2374252121
655	0.2373000368
656	0.2369485034
657	0.2367327465
658	0.2364732521
659	0.2361407094
660	0.2360538346
661	0.2359114131
662	0.2357795366
663	0.23566635
664	0.2355065234
665	0.2354365736
666	0.235324811
667	0.2349454053
668	0.2347844167
669	0.2345641442
670	0.2343262608
671	0.2341682798
672	0.234039696
673	0.2337956867
674	0.2337285238
675	0.2335048457
676	0.233269691
677	0.2330840997
678	0.2327356168
679	0.2325765988
680	0.2323670745
681	0.2321619071
682	0.231918195
683	0.2315680402
684	0.231474515
685	0.2312180691
686	0.2311234377
687	0.2310864659
688	0.2309278326
689	0.230738782
690	0.2304704419
691	0.2302288395
692	0.2298181885
693	0.2293903934
694	0.2291123453
695	0.2290121132
696	0.2287919791
697	0.2285066572
698	0.2283986459
699	0.2282269366
700	0.227973967
701	0.2278573495
702	0.2276222011
703	0.2274323049
704	0.2273106666
705	0.2271290909
706	0.2267975087
707	0.2266253845
708	0.2263456353
709	0.2261749614
710	0.2260246063
711	0.2257746162
712	0.2256819192
713	0.2255472941
714	0.2254650826
715	0.225362106
716	0.2251557723
717	0.2249404082
718	0.2247147313
719	0.2245217577
720	0.2243887713
721	0.2241374741
722	0.2239036509
723	0.2237675682
724	0.2237021841
725	0.2235238505
726	0.223328052
727	0.223180092
728	0.2229759025
729	0.222760915
730	0.2224699011
731	0.2223523481
732	0.2222743572
733	0.2221098227
734	0.2219740635
735	0.221785663
736	0.221534157
737	0.2214311401
738	0.2212271797
739	0.2210828283
740	0.2209779899
741	0.2207986109
742	0.2206864432
743	0.2205491843
744	0.220267175
745	0.2200640909
746	0.2199047701
747	0.2197065203
748	0.2193958262
749	0.2192540409
750	0.2190816146
751	0.218869001
752	0.2186614773
753	0.2185684885
754	0.2183903894
755	0.2182956795
756	0.217878861
757	0.2176966971
758	0.2174254607
759	0.2172161559
760	0.2169001893
761	0.216621816
762	0.2164741437
763	0.2164026079
764	0.2161857078
765	0.2159482879
766	0.2157891333
767	0.2156558047
768	0.2154277092
769	0.2151518938
770	0.2149489933
771	0.214848046
772	0.2146931081
773	0.2145583181
774	0.2141083238
775	0.2140305773
776	0.2138497921
777	0.2136381169
778	0.2134756234
779	0.2133057342
780	0.2131823793
781	0.2130732782
782	0.2129122637
783	0.2128242533
784	0.2127417406
785	0.2125170914
786	0.2122378939
787	0.2119716821
788	0.2118617943
789	0.2116263454
790	0.211379599
791	0.2112371961
792	0.2110701628
793	0.2109662223
794	0.2107860269
795	0.2106196152
796	0.2104558648
797	0.2102504922
798	0.210154276
799	0.2100309534
800	0.2100147829
801	0.2098911548
802	0.2097765356
803	0.2095707747
804	0.2093242484
805	0.2091741717
806	0.2089820682
807	0.2087646385
808	0.2086431891
809	0.2085830945
810	0.208370023
811	0.2082104383
812	0.2079717329
813	0.2078309034
814	0.207687584
815	0.2074700274
816	0.2073441134
817	0.207221874
818	0.2070242696
819	0.2067673019
820	0.2065519671
821	0.2063035645
822	0.2059339893
823	0.2058809832
824	0.2056558024
825	0.20547202
826	0.2052413747
827	0.205163495
828	0.2050541299
829	0.2047543218
830	0.2044200901
831	0.2041614066
832	0.2040019788
833	0.2037770688
834	0.2034421212
835	0.2033544347
836	0.2032474012
837	0.2030146448
838	0.2027691651
839	0.2025339375
840	0.2021402427
841	0.2019454925
842	0.2018336348
843	0.2015718896
844	0.2013908937
845	0.2011032117
846	0.2009749325
847	0.2009054261
848	0.2008407645
849	0.200663221
850	0.2003775396
851	0.2002266874
852	0.2001369858
853	0.1999661098
854	0.1996218061
855	0.1993509422
856	0.199258523
857	0.1990444697
858	0.198894156
859	0.1986406926
860	0.198452691
861	0.1982463375
862	0.1979922826
863	0.1977433141
864	0.1976018764
865	0.1974461987
866	0.1972993464
867	0.1971284366
868	0.1970888715
869	0.1969611844
870	0.1968311836
871	0.1967366512
872	0.1965754398
873	0.196532255
874	0.1964006236
875	0.1961957077
876	0.1961047611
877	0.1959796569
878	0.1958642077
879	0.1957441099
880	0.1956491381
881	0.1953969828
882	0.1952516234
883	0.1949792172
884	0.1947243678
885	0.1946581197
886	0.194428947
887	0.1942411515
888	0.1940484967
889	0.1938987655
890	0.1936420294
891	0.1935006976
892	0.1933611339
893	0.1932274082
894	0.1930360633
895	0.1927435843
896	0.1926793193
897	0.1924240477
898	0.192226495
899	0.1919550939
900	0.1917975798
901	0.191507469
902	0.1912413361
903	0.1910529749
904	0.1909483702
905	0.1908413938
906	0.1907755867
907	0.1906209402
908	0.1904129606
909	0.1901846067
910	0.190060753
911	0.1899243367
912	0.189819497
913	0.1897363198
914	0.1893434284
915	0.189190635
916	0.1891251542
917	0.188910526
918	0.1887275735
919	0.1885359804
920	0.1884765171
921	0.1883301526
922	0.1882162672
923	0.1881254306
924	0.1880362515
925	0.1878766821
926	0.1876950382
927	0.187581881
928	0.1873993694
929	0.18730437
930	0.1871341767
931	0.1870134302
932	0.1868577101
933	0.1867318023
934	0.1865911491
935	0.1864079318
936	0.1862897556
937	0.1862558018
938	0.186056802
939	0.1858919105
940	0.1857014798
941	0.1854998757
942	0.1853730297
943	0.185314315
944	0.1851809581
945	0.1850292817
946	0.1848535574
947	0.1847082279
948	0.1845455412
949	0.1842060396
950	0.1840483461
951	0.1838217407
952	0.1835726922
953	0.1835016661
954	0.1834626227
955	0.1832823781
956	0.1832200865
957	0.1830542936
958	0.1828309735
959	0.1826267023
960	0.1824413219
961	0.1823203817
962	0.1820049165
963	0.181783664
964	0.1816000358
965	0.1814717295
966	0.1814065423
967	0.1813120221
968	0.1812903612
969	0.1811274695
970	0.1809778184
971	0.1808161001
972	0.1806518534
973	0.1806370214
974	0.1803839269
975	0.1802335916
976	0.1799742007
977	0.1798231625
978	0.1796899846
979	0.179543356
980	0.1793716758
981	0.1792496747
982	0.1790437504
983	0.1789313219
984	0.1787795062
985	0.178661149
986	0.1785257989
987	0.1783409137
988	0.1782335242
989	0.1781962735
990	0.1780299217
991	0.1779534475
992	0.1775216907
993	0.1773514156
994	0.1772044953
995	0.177145547
996	0.1769845135
997	0.1766932749
998	0.176594809
999	0.1765212765
99	0.1878980447
852424041
